Review-Text,Review-Date,Star-Rating,Web-Site
Exterior Really great and looks good compared to SUV's in the same league.,"January 04, 2018",3,carwale.com
"I bought a Jeep Compass on 28/1/2018 and yesterday on 04/02/2018 my car got broke down on the highway some where around 200 km away from my home. i don't know how a new car started vibrating and it was making noise, it was so humiliating and embarrassing for me  because i was with my family and relatives on a holiday trip and then this happened to me,  my cousins were making jokes and laughing on the car (On ME), the company dealer is saying that they have identified the problem and resolved it but i am so pissed off with the car that i don't want it back, so either you buy back the car and give me my money back or either give me a new piece because if the product is doing this within 7 days of purchase than I am sorry but I don't have any future expectations with this.    so just looking into this matter and resolve my issue because i don't expected this sort of CHEAP performance from a company like JEEP   samarth jain meerut","February 06, 2018",2,carwale.com
"We brought a jeep compass about 20 days back.  On receiving the vehicle, there was a constant clatter from the front pair of doors or panels.  On reporting this, they took the vehicle to the workshop promptly, reporting post return, the issue has been resolved.  In turn, while one door, the noise had dampened, though not eradicated, on the other door, the sound had increased.  Now I have to myself try multiple maneuvres to try and reduce the noise.  The staff were helpful in the showroom but frankly, they are sales people and they could hardly make out the real issue.  Now I am still awaiting a call from their Pune office to correct the issue and mind you, this is only 28 days post buying the vehicle.","July 17, 2018",2,carwale.com
"Exterior Head turner, stunning looks, Strongly built, very heavy as well. Front Grill with Jeep Brand stands out. started loving bad roads now (bangalore). Great presense on the road.","November 15, 2017",4,carwale.com
"I am facing the death wobble issue in my NEW Jeep compass, I was near to hump and applied break and the car started shaking violently. This is a terrible issue and can cause accidents. ","April 19, 2018",4,carwale.com
"Before I start the detailed review, let me express a concern over the genuinity of the reviews posted by people who don't own the vehicle. For those who go by cumulative rating, 3.5 stars seems way too less. But the fact is that some of the disgruntled users who had issues with dealerships had a major hand in the same.","April 19, 2018",4,carwale.com
I am an Air Force Officer and was impressed by the Jeep 4X4 month offer and went to a dealer in Bangalore for enquiring about the same. I had carried my cheque book to book the vehicle in anticipation of an honest interaction with the sales person.,"April 20, 2018",2,carwale.com
"My favorite and dream car it's smooth driving and high speed engine colors very very love it..... My The 2018 Compass is available in four trim levels: Sport, Latitude, Limited and Trailhawk. All come with a 2.4-liter four-cylinder engine (180 horsepower, 175 pound-feet of torque). A six-speed manual transmission is standard on the Sport, and a six-speed (FWD) or a nine-speed (AWD) automatic transmission is optional. All other Compass trims have the automatic as standard equipment. Front-wheel drive is standard and all-wheel drive is option","November 02, 2018",5,carwale.com
"A CAR NOT TO BUY This car's turbo sets in around 2500 rpm. Till it reaches this rpm the car hardly moves, then suddenly it flies off the handle. This is impossible to control under most circumstances. In my opinion it is an accident waiting to happen. When i bring this up with the service station they just shrug it off as normal in all Jeep cars. It has pathetic fuel efficiency. Be that as it may the engine capacity is so small that the car needs refueling constantly. I cannot go from Bangalore to Mysore and back without refueling. I discovered this pretty early after buying the car. I decided to sell if even before i reached 1000 kms and one month after i purchased the car. When i inquired the purchase price, i was not even getting a quote for 17 lakhs. I paid 24.66 lakhs for the car. Though most cars lose their value once you drive out of the showroom, the Jeep's resale demand is non existent. In my opinion these cars should be banned from sale in India","June 06, 2019",1,carwale.com
No customer service.buying this car in December 2017. front headlight not working properly then I go to jeep service center..service manager told me without check my car sir car is absolutely fine. Pathetic experience,"February 05, 2019",2,carwale.com
"It is good in or better in interior and facilities and bad in pick up,avg and service ,worst in avg claiming 15km and giving 7 km Response zero from company, I bought from Surat and in bought as useful car as automatic but facing difficulty in city also ,all other way good and no doubt about safety and interior ,workmanship good ,but expecting whatever company claiming should we get at least 90% Hope company will contact and resolve issue","September 21, 2018",2,carwale.com
"I would like to talk about the performance. There is an inherent Clutch/gear issue. My clutch burnt at 13000 kms. The service center states that, the vehicle is not suitable for city conditions and the clutch has relatively smaller grooves, which makes it wear out faster. They claim, they have reported to the Jeep, but not sure if they will take any action. I got the clutch replaced, and am now getting clucking sound, whenever I change the gears, or slow down/speedup. The service center states its normal, but i can clearly see that, its not RIGHT. I have now no idea what to do now!!!","November 15, 2018",2,carwale.com
"I am jeep owner from almost 2 years and after driving it more than 40k km I am writing this review. I don't advise people to buy it. Following are the pros and cons Pros..... 1) Its built quality and exterior is good. 2) You get good grip and control on high speed on highways. Cons...... 1) Jeep compass probably the worst SUV in its segment which has extremely poor and if I have to be blunt then pathetic turning radius and you literally have to take reverse on each U-turn in the city and if you are driving it cities like Mumbai, Bangalore then you are done. 2) even after taking care of the vehicle and getting it serviced on time the car started making noise. It's arm rest makes noise even the cover around steering wheel also not fitted well which also makes noise. 3) someone broke my wind shield which I got it replaced with new one but the size of new wind shield is little small and has not been fixed well it is making sound from the moment I got it fixed. 4) Most important point its engine stopped 3 times once on Express Highway and did not start then you have to wait for 20 minutes to get it started again which is terrible for a SUV where you have paid 20L. Even my 12 years old Honda City Engine never had this issue. 5) fabric seat covers after paying 20L is something you don't expect. In my opinion you should go for other SUVs instead of putting 20L in this or wait for another year to get better options as it has all basic features which you can get in any 10-12L car except electronic hand break. I bought this car thinking that its American brand and its going to be good product and after sales service but they have failed in both. They are selling inferior quality or they couldn't import quality which they sell in US or they are purposely selling poor quality products thinking that it's India and they can twist rules and regulations the way they want.","July 22, 2019",2,carwale.com
"I purchased this car in recently and drove 800km in all conditions (in city/ highway etc---). I am getting an average mileage of 5.4 km/litre instead of 12-14 which company is offering. Please check the mileage of this car before buying this variant. It is a petrol variant with an engine capacity is 1.4, not worth to drive this car if you get an average of 5.4/km.",,1,carwale.com
Exterior I don't really like huge SUV's (like the Fortuner or Endeavour) and in my opinion the Compass is just perfect. Its not too small and not too big. The design compliments the size very well giving it a superb road presence. I love the side profile and that chrome strip that differentiates the rood and the rest of the body. I love the rear which is complimented with a nicely done LED tail lights. (even non-led's looks good).,"September 14, 2017",4,carwale.com
"The buying experience was good. The only mistake I did, never checked the mileage of the car. I believed the sales person who told me the average mileage is 14-17km/L. The Jeep team is not ready to accept the mileage issues. I have sent several mails to the entire Jeep team and there were no reply and solution. I am getting an average mileage of 5-6KM/L after driving 2500km with different conditions. My humble request to all customers who are planning to buy Jeep compass, please check the mileage on different conditions (traffic /non traffic etc.) to get the real mileage. Do not believe the sales person who just want to sell the car.",,1,carwale.com
"Exterior Great body, tough and head turner. ","February 27, 2018",4,carwale.com
"Dear Team Greetings...!!! This Email on the behalf of Mr. Mukesh Kaushik, Who is your current customer. We bought a jeep on 24th June 2018n (Automatic) with the hope that we shall be served well and we are buying from one of the most esteemed company. But unfortunately, We have been facing many issues since then and have not received any after sale services. Please refer below to our concerns. At the time of buying, we were told that car gives average of 14, but initially, it gave average 6 and now maximum average I am getting is 7.5. This was updated but the issues were never resolved. We bought the luxury car because we have big Professional group and was very occupied with that but even then we addressed the problems with no answer in return. Also, after 15 days of buying; the Gear Box of the started giving a lot of problems. While using 2nd and 3rd Gear there is a continuous Which keep irritating the Driver. similarly, While using the starting wheel there is a problem of noise while rotating the wheel. Not only this, even if we move out of the car and car key almost 250m away from the car, The car is still unlocked. For that matter, even light does not get off When the car is locked. We have been very busy due to professional and family reason so we expected the company to help us immediately, but even after promising nobody turned up for any help We shall request you to Replace the car so that all our quires are resolved and we can still be a dedicated client to the company. Looking forward for a quick and fruitful response. Kinds Regards Mukesh Kaushik 9xxxxx70xx0 xxxxxsh@sxaxnxdxxdssxxxxx.com","February 07, 2019",1,carwale.com
"To, JEEP INDIA TEAM. Greetings of the Day !!! I recently bought the much hipped safety oriented INTERNATIONAL car JEEP COMPASS from your S G HIGHWAY BASED CONCEPT DEALER. The reason behind wiring this E-mail is to Replace my Faulty Car with New Jeep Model or money in cash. Just before few days when we were travelling on Ahmedabad to Surat Highway your Jeep Compass had serious build and make issue. While the running conditions at only 90KMPH the Fuel Pump (Diesel) Started Draining out Heavily. But to our fortune we smelled something wrong in the car and we immediately stop it by the side of highway. While inspecting the car on the highway we have found that its fuel pump was full of leakage and the diesel was draining out fast. As you already know that I have purchased it just before 6 Months and has drawn It for just about 20000 Kms with all regular paid services from your dealer. In any case your Jeep Compass Model in India is not conforming to the safety and performance standards of International Level which you try to claim in your much hipped marketing in television and other related medias. However, In that case I want full refund of my money or if you provide me enough assurance that this type of problem will not appear again in your vehicle than I shall be ready to have a new car from your company as a replacement to my existing car. I hope that Jeep India team will understand my situation as I am paying my hard earned money behind your faulty and damaged Jeep Compass car, I shall not be ready to collect back this faulty model from your dealership after repairs and would like to request the competent authority to provide prompt justification in my case on urgent basis. Due to your faulty model Jeep Compass my business plans are totally disturbed and I have already faced a moral and indirect lost of more than 1.5 Lakh Indian rupees during last week. In short, I am providing you the only two options to choose from before I personally litigate you in the court of Law: 1) Refund my Full Money of Jeep Compass and take back your Faulty Vehicle. 2) Replace this Faulty Vehicle with the New Vehicle and Provide me an Assurance in Writing that If the same problem is found (with in12 Months again) in the new piece of vehicle you shall be liable to refund my full money in Cash. I am writing this letter as a formal complain to justify my stand and provide time of 5 Days to your company authority before I initiate a legal procedures against your company and the dealer from where I have been made fool to purchase this faulty and damaged vehicle. Look forward to hearing from you as soon as possible. Regards, MILAN PATEL Unfortunate Owner of You Jeep Compass GJ01XXXXXX AHMEDABAD 9909XXXXXX","October 08, 2018",1,carwale.com
"Exterior The outlook of the car is quite masculine, I love the fact that the design cues have been insprired from the Jeep Grand Cherokee.","August 27, 2017",4,carwale.com
"1. Buying experience was not at all good as the sales executive told us that the milage of car is 17km/lt but it was just 6.5 km/lt. We asked the executive, he said wait for some time it will increase but after first service the result was same. Now its 6 months but not even a km milage has increased and the executive has stopped picking up the call.","January 02, 2019",1,carwale.com
"On 27th July 2018 I was coming from Kapurthalla to Delhi, around 8:00 AM at Ambala my car (JEEP Campus HR 26 DJ 1503) stops and doesen't start.","August 05, 2018",1,carwale.com
Jeep compass is a very good suv and it is dominant in its segment. It has awesome looks and has a good powerful engine. The brand jeep is enough to stand apart. The price is little bit high.,"November 17, 2019",5,carwale.com
Super ride . Amazing features .nice suspension and heavy hard body . Excellent interior. coaching. music system. Steering height and movable system. cruise control .gear system is very soft. Projector headlamps mirror indicators Mag Wheel alloy wheel nice looking design .super SUV car overall Amazing car,"January 11, 2019",5,carwale.com
