Review-Text,Review-Date,Star-Rating,Web-Site
"VERY WORST EXPERIENCE I HAVE, WORST MILEAGE AND NO PICKUP, 21.75 LAKH ON ROAD PRICE,WASTE OF MONEY ,BECAUSE I BOUGHT SELTOS ON BEFORE 2 MONTHS IN COIMBATORE, DEALER SAID A SO MANY FUTURES IN CAR AND U HAD BEST SUV IN BS 6 ,ALL R FAKE BECAUSE I HAD A WORST EXPERIENCE IN LONG DRIVE 13.5 KM MILEAGE IN 80KM SPEED AND BREAKING SYSTEM R VERY WORST ,SERVICE COST IS MORE THEN HIGH COMPARISON OF CRETA AND DUSTER ,SO PLEASE DONT BY A SELTOS. SERVICE RESPONSE IS VERY VERY WORST IN YOUR LIFE TIME EXPERIENCE, MY ADVICE IS DON'T BYE SELTOS GTX AUTOMATIC TRANSMISSION 7 DCT PETROL","December 04, 2019",1,carwale.com
"After spending 15.5 + lakhs you get basic features. HTX, HTX+ Petrol variants even do not have rear disk brakes! Only 2 airbags, no eps, no brake assist, no traction control! Wtf you get after so much just a look! They thinks Indians are cattles and they are dumb, they don't require safety? Can kia lust out details of features launched in Korea and elsewhere? People must stop buying this bullock cart!,","October 03, 2019",2,carwale.com
"I saw lots of people cribbing about how kia has come up with weak engines or price is little high.its a mid size suv.which competes with creta ,ecosport,duster.one can buy a good feature loaded car within 11 lakh.if you have budget more than that,then one can go for hector,harrier etc.as i am getting 1.5 lit petrol a one above base model within 11 lakh.its a good engine.5 people with all their luggage can accommodate easily.you are getting rugged looks(not like soft looking creta).what do you guys want in 10-11 lakh budget car.as i said if you have budget more than 11 lakh,then this may not be fit for you.comments likhne se pehle socha karo.11 lakh ke gaadi se fortuner ya endeavour wala tasan kyon expect karte ho.","September 19, 2019",5,carwale.com
"Messed up variant list, not offering even 4 airbags for on road price of 16 to 17 lacs is a crime. They should remove the gimmicky features and at least provide more than 2 airbags in HtX and HtK series. Wtff seriously KIA !!! And no top end for automatics...making same mistake as Hyundai , at least htx ivt should be available as a top end","August 22, 2019",3,carwale.com
"I booked the car on 29 August and was told delivery in 3 months. I wasn't convinced to buy because of 1.5 ltr engine and high price for cosmetics. But then no other option available other than creta. To my surprise even after 2.5 months, the dealer was not sure when the car will come. He asked to wait until December. Why should buy a car were waiting for 5 months and still be unsatisfied. I took the right decision to cancel. Don't book the car until 6-12 months review if you have any doubts, becoz the doubts are real for sure.","December 14, 2019",2,carwale.com
"Overpriced compared to MG Hector. Would had been a steal deal for 20.5 L on road. They stretched a over but on GTX+.Mostly, I will be cancelling my booking and going for Hector. And Beige interiors on top end?? It's ridiculous . Expected full black experience .","September 14, 2019",2,carwale.com
I bought my car on 27-Aug-2019 and driven about 500Km and could not found any complain in car performance. I have an major issue with infotainment system since the day one and Kia work shop is not able to provide the resolution for the same since more than a week. Issue Description - My infotainment system is getting powered off after some time frequently and no any button on panel is working. To turn it on i need to turned off ignition of car and start it again. I have complained the same to kia workshop on 31-Aug-2019 and they called me thrice at their work shop and could not able to fix it. It is very inconvenient while travelling on road and my infotainment gets switched off and i need stop my car on side and restart it again. Because of above issue my reverse camera display got switched off in between while parking and my cars bumper got scratches.,"September 06, 2019",5,carwale.com
"Kia seltos is no doubt a very good car in its segment but is it really worth that price? Has it priced it logically in a weak automobile market ? Is it worth paying premium for BS 6 diesel engines well before rules come in ? Why not buy other cars with best service network and great deals which will be more sweeter with GST cuts in few weeks ? Kia has opened pre bookings very early to see the demand. And seeing Indian customers' interest in seltos, it has priced the base (useless) variant below 10 lakhs to fool us. And other variants (which are worth buying) are priced high. If you look at pricing, base petrol and diesel variant differ by 30k only but all other variants have price difference of 1-1.2 lakhs. Few more fooling techniques adopted by kia : They created HT and GT lines to confuse customers and force us to buy costly variants. Top HTX plus doesnt get even safety features of GTX plus, leave alone few fancy features. AT is priced 1 lakh more than its respective variant, but no safety features are given as bonus (other car makers do that). DCT technology is new and it is tried on us , that too with premium pricing. Top variants of diesel AT and petrol DCT are priced same and also the base diesel and petrol MT are closely priced, but in between they are differing by 1-1.2 lakhs. Summary is that we all are at fault, since we have shown interest in seltos well before launch and pre-booked in large numbers. This has given kia (the new entrant) the confidence to price their models on higher side , even when automobile industry is facing biggest slump. Once crazy emotions come down for Indian customers, reality will sink in their minds and people will analyse closely the premium they are paying unnecessarily. It is not any hot cake that will be unavailable if you don't rush and buy now. Otherwise how dare a new comer company shall take Indian customers for ride and happily cashing in on their confusion, when all other car makers are reeling under pressure of slowdown. I have also booked this car, but I am not convinced to buy and take delivery for this same reason. HTX plus AT is wrongly over priced and it is same with few more variants. Why pay so much premium for untested car and company in a discounted market. This is my personal view. Pls comment on my review and suggest if my analysis is correct and is it worth waiting.","September 10, 2019",3,carwale.com
"I visited kia motors nasik on 25 august. I m very igar to see seltos, but unfortunately show not open, i wait for 1/2 hour, then 11am. I enter in show room. Car is superb. But salesman not notice me. I call them 2/3 times, but not interested to entertain me. Not give any details, very unprofessional behaviear, very disapointed with atittude of person of showroom and height, not even ask for test drive, i ask for quotation but it also not available, i suggest kia, improve service,","August 29, 2019",5,carwale.com
"The Kia Seltos HTK+ model is the best value for money car in the tech line section. It has a 1.5 petrol engine which provides a very good drive experience. Buying experience- The staff is really friendly and will show you every single feature of all the models before letting you decide which model you want to buy. The car took 1 month to reach me but it was worth the wait. Riding experience- The ride experience was really nice. I bought the petrol variant. The mileage is really good. In the city it is around 14-16. I haven't tested in on the highway yet. The car xan go really fast but you may wanna slow down a little bit while taking turns because you may notice a little bit of traction. Looks- The car looks very up market, both internally and externally. It is loaded with awesome features. Servicing- Since i've bought it just recently i haven't done my servicing yet. Overall the car is very good and i love the experience. In my opinion, one should buy the kia seltos rather than going for other options in this price range.","October 13, 2019",4,carwale.com
Seems like very good car..I wanted to buy HTK 1.5 petrol version. They don't have test drive for this version or any version with same petrol engine. I got diesel version test drive instead which has all together different engine specs. Dealer (Vadodara city in Gujarat) mentioned Kia is not giving test drive for 1.5 petrol engine. How can i purchase newly launched car without test drive?,"September 22, 2019",2,carwale.com
"We purchased Kia seltos yesterday. Remote control not working properly. Accational it works. We showed to mysore road showroom, they could not fix it today. They told we need to update software and thier people are coming from factory tomorrow. How for they will fix it's big question.","September 06, 2019",3,carwale.com
"This is actually the best offering in the current price range. People have been cribbing about features, well then pay for it! You forget it's technically not an Indian company, so taxes are more! The range topping GTX+ model which now also comes in both Petrol AND Diesel, comes with features that none of the vehicles in the current market offer. 6 Airbags are standard in the GTX+ models. As is ABS and EBD! The suspension might not be as good as the Harrier's, but then you forget that has the suspension from the Range Rover Discovery. So in-short, this is actually the best suspension in the mid-size SUV segment. At ?20.5 lacs (on-road TN) for the ranging topping editions, this automobile is pretty much the best that you can get. Servicing, might be an issue for now. But if Hyundai is able to provide support in any way, I believe KIA will never let us down in that regard either. The end result is that KIA was able to bring in a very trendy and highly-equipped package into the Indian market, and at a very good time too!","September 14, 2019",5,carwale.com
it so comfortable and it is feature loaded along with a sunroof also with comfortable automatic nice CAR we will rate it 5 stars. My absolutely favourite and loved the test drive experience for the car. The ride felt solid and well in control at both slow and high speed as well.,"September 22, 2019",5,carwale.com
"Had test-driven the petrol CVT version. The exterior looks and the interior quality is definitely worth talking about! Great looks, sleek yet bold. Interiors are up there with the likes of expensive cars. But alas that's all the good I can say. I had a lot expectations from Kia on this but turned out to a be a big disappointment. The 1.5 engine mated to the CVT gearbox is not fun to drive at all. Doesn't justify the steep pricing as well. Extremely underpowered. Haven't driven the version with the DCT. Suspension on low speeds are ok but the higher you go, you can feel the bumps in the car. Not sure of it's SUV capacity, but I am not sure it may live up to enthusiasts. Ingress and egress was surprisingly not good in my experience, I am 6'2 for reference. Not very good first impressions.","October 31, 2019",3,carwale.com
Excellent driving with fully loaded feature...htk+ petrol is value for money variant....better than present creta and also bigger and wider than upcoming creta .... go for it guys and I m getting 13 avg in Delhi city traffic before my 1st service. I have driven around 500 km in last 10 days....thank u kia...CHEERS,"November 15, 2019",5,carwale.com
