Review-Text,Review-Date,Star-Rating,Web-Site
"Firstly the parts of the car is not at all good, what I come to know later is that this company is a Chinese one and just to make mark in India they registered as UK based company which is very much false. If you can check in the internet you can come to know that Chinese hold major shares in the company and the parts used to build the car is manufactured in China which you all know how quality will that China cheap parts be!","July 26, 2019",1,carwale.com
"Hello,         Myself Dr Hasan Faraz,   It is very heart broken to say that i have Happilly Book MG Hector    On 27-6-2019 , Red, Diesel Super 10 Days Later i got call from company saying company is not making Red In super variant ( then why did they done my booking , i have written proof for that) I compromise with White Color Now White super Diesel 10 Days Later again i got Call as i Have changed my Variant Color i will be getting car in October( it was not me who changed variant they forced me ) Now few Days Before i Got Call i will get my Car in December . I thing MG Motor is cheater and Cheating me  I also came to know that my car is wrongly feed in computer by Red petrol, which i asked to correct many times with no response in return,    I am  very dissapointed by the service and assurances i get from MG They cheated me , i sold my car on there promise now without a car i only know difficulties i am going through in my practice .     Totally heart broken with wrong promisses i had no choice but to write a letter, Kindly Help  Booking id  - NE0****135   Kind regards,  Dr Hasan Faraz  Ph- 9*******559  Lucknow , UP","August 14, 2019",1,carwale.com
"MG HECTOR is one of the best and fully loaded SUV, which was provided at lower cost in all variants. Ride quality and looks also good. Comfortable seats, paramonic sunroof, inside internet and AC performance fabulous. . .","July 06, 2019",5,carwale.com
Pls don’t buy this car .. there is problem in clutch plate and that is not getting to solve .. making fool . Just the looks given in car .. performance vise very poor .. I will suggest go for Kia motors much better .. I am regretting buying mj hector,"August 20, 2019",2,carwale.com
"Buying Experience: Only one dealer in entire Telangana and most of the staff is straight from college. Over & above overwhelming bookings . Now you can imagine the customer experience. Heard some customers are using all possible recommendations to speed up their delivery. You can imagine the rest. Riding Experience: I drove MG Hector (Sharp) Petrol Hybrid for more than 1000kms. Both in city traffic (200km) and on national highway (800km). It gives superior comfort for driver/passengers . HiTech features makes you feel like you are in full control of the car. No complaints in this section. Over all I am very happy. Details about look: I liked the external design of the car. For me it appears like a mini Toyota Fortuner from some angles. Performance: After driving it in different roads in city & highways, I don't feel the acceleration is leaner enough in all gears. Overall I felt it is ""sluggish"" / ""under powered"" . I am not an auto expert to give figures on RPM vs Torque etc. Even the fuel efficiency is not up to the figures declared by MG India (i.e. 15.8 kmpl). I only got 9 to 10 kmpl in city & 11 to 13kmpl in Highways. Finally I would like to say this car is a good value for money.","September 11, 2019",3,carwale.com
"I got a chance to Drive this Car . I didn't Expect That the petrol Hybrid Engine Gives This Type of power. This Engine Really Awesome. The 1.5 ltr Hybrid Engine Gives a lot of Power in the Mid-range Up to 2000 rpm some amount of lag but its pull so Quickly. And The safety features of this car is Very good 6 Airbag Abs EBD TC Hill hold etc. The Design of this Car is Awesome And The comfort also Very Good The Rear Passenger Gets Rear Arm Rest Rear Ac Vents and Good Amount of Space. And The Main Attraction of this Car Internet Inside 10.4 inch Huge Touch screen It's Really Awesome The Sound Quality Is Also Great . Pros 1. Value for Money 2. Fully Loaded By the Way of Features In this Price like Panoramic Sunroof, 10 inch Touch screen With Android Auto And Apple Car Play With 5G Sim Support, Electrically Adjustable Driver seat Etc 3. Safety Cons 1. The Breaking is Okey Not that Great","November 06, 2019",5,carwale.com
"The overall genuine review must-read who want to buy this car 1. My buying exp. Is awesome the showroom people were very polite and responsible. And I opted for black mg hector top-end diesel 2. I have already done 20000 kms in 4 months and at first, there is a clutch issue and I thought this was a bad car but it isn't the company replaced my clutch with a dust cover not it is riding excellently and on Hyderabad ring road I've hit 185kmph and it feels like going 100 kmph inside the cabin there is 0 vibration and noises....overall very nice. 3. The looks were Mind boggling just awesome the black was insane.when it comes to performance in 2nd gear the power was lacking but overall the performance was brilliant absolutely no doubt 4.pros and cons PROS *Stunning looks *Great power *Roomy cabin *Amazing features *Cheaper price for that car i would pay min. 25 lack for that car CONS *STEERING WOULD HAVE MORE FEEL AND FEEDBACK BUT ITS FINE WHEN WE GAIN SPEED. THAT'S IT.","December 09, 2019",5,carwale.com
"Mg hector is one of the best suv segment car in india.it is basically competition with harrier,creata and jeep pros:it has good pickup 2.it has smooth drive. Cons:1 isssue with voice command either it doesn't recognize or it listen to what you talks 2.display touch -it display is not responding sometimes 3.cooling issue in the rear section ac is not much effective as it has panaromic sunroof it has high temperature in rear section cooling is not effective in summer. 4.battery is not so good thats why mg provide one year warranty on that.","July 25, 2019",3,carwale.com
"Buying experience: Sales number define the gravity of the car and flock of customer booking. Riding experience: one of the worst experience as the acceleration is worst in the segment. I bet if you take this in traffic it will take her two second just to respond. Details: well tough it's an internet car and first in the segment. The only feature enactment is voice command worthy enough to test. Well didn't they just fit an ipad. It feels like a copied version. Also the screen frickles while it was standing at showroom they ac touchbar went flickering. It's a common thing for a car to have a dc electronic convertor for a car standing at showroom but this happed with the car too. Maybe they require a software update the right side, the bonut is not aligned to the body. So there might be an assembly issue to with the car. Honestly, I went to buy with confidence. But that engine ruined by decision. It's not responsive at all. And the assembly thing might cause vibration in future with my experience.","July 10, 2019",3,carwale.com
This car is nothing but a cheap quality chinese car the petrol hybrid version is waste and its lack much power .... This version of the car is low on power and according to the massive expensive price range .... Jeep compass is much better option .....I was thinking of selling my jeep compass when i saw MG but after riding it i regret my descision ..... I chose to keep using my jeep compass for another 1 year instead of buying This RUBBISH MG HECTOR ...... FIRST of all this same car is provided to different car brands in the world so it no unique This car is provided to the Brands like CHEVROLET BAOJUN 350 WULING ALMAZ Type this on net and you will find this same car with different badging ..... I REGRET EVEN DRIVING IT ......IN the end its your money your choice .....,"July 01, 2019",1,carwale.com
